Assignment,Presentation,Attendance,Quiz,MidTerm,Final,CGPA
1,1,1,4,2,14,1.25
4,4,6,3,6,21,2.00
6,7,7,4,8,24,2.75
6,9,5,4,8,22,2.50
2,1,2,5,8,7,1.25
3,2,4,4,7,13,1.50
7,9,9,5,10,24,3.00
6,7,7,7,13,22,3.00
3,4,5,0,2,3,1.25
7,6,6,6,8,17,2.50
7,8,10,3,9,28,3.25
7,9,8,5,8,17,2.50
4,0,1,4,5,12,1.25
0,1,1,1,2,6,1.25
10,9,7,7,12,17,3.00
4,5,6,0,8,8,1.50
7,5,6,5,10,28,3.00
6,6,7,4,7,13,2.00
3,4,3,2,9,10,1.50
6,4,4,1,5,10,1.50
9,10,10,5,10,33,3.75
10,10,10,8,16,34,4.00
5,4,5,0,10,23,2.25
3,4,4,2,5,18,1.75
10,10,10,8,15,34,4.00
6,6,6,5,11,19,2.50
6,5,6,4,8,34,3.00
9,8,10,5,11,30,3.50
4,3,5,4,6,19,2.00
7,8,7,5,2,8,1.75
9,8,9,5,6,24,3.00
2,5,5,0,2,4,1.25
3,5,6,2,6,9,1.50
7,8,7,6,14,24,3.25
10,6,10,5,12,25,3.25
7,5,6,3,15,30,3.25
9,9,10,6,18,27,3.75
5,8,6,5,7,10,2.00
8,8,9,7,8,22,3.00
5,4,4,2,7,4,1.25
3,8,4,2,9,9,1.75
6,6,4,6,9,19,2.50
3,4,4,1,10,12,1.50
8,7,7,3,6,17,2.25
5,6,4,3,2,20,2.00
3,6,6,3,0,7,1.25
1,3,0,7,12,33,2.75
9,9,10,4,13,32,3.75
9,8,7,5,14,31,3.50
6,3,5,7,4,18,2.00
9,10,9,5,10,32,3.75
9,9,10,9,14,30,4.00
8,9,7,9,10,27,3.50
6,9,7,7,10,28,3.25
8,9,7,5,11,25,3.25
4,1,3,1,2,6,1.25
3,2,2,1,7,12,1.25
6,7,6,6,7,26,2.75
4,3,5,1,10,13,1.75
3,5,2,3,6,18,1.75
1,3,4,3,3,7,1.25
9,10,9,7,20,33,4.00
7,4,4,6,7,24,2.50
2,1,1,0,0,9,1.25
1,4,4,0,8,10,1.25
6,5,5,6,4,16,2.00
1,0,1,1,2,1,1.25
7,9,10,4,12,30,3.50
0,0,0,0,0,1,1.25
8,9,8,4,11,23,3.00
1,2,2,5,6,10,1.25
5,6,10,4,9,22,2.75
6,10,10,5,19,30,4.00
7,8,5,7,11,31,3.25
8,8,10,7,14,32,3.75
1,3,1,0,1,1,1.25
6,9,8,1,8,16,2.25
5,7,7,5,11,29,3.00
6,8,6,5,10,30,3.25
8,9,9,4,10,30,3.50
4,2,3,0,7,14,1.50
8,9,7,8,16,33,4.00
0,0,0,0,2,4,1.25
8,7,9,6,13,32,3.75
3,3,3,2,9,13,1.50
6,8,7,5,9,17,2.50
0,1,3,1,2,9,1.25
4,4,2,3,5,9,1.25
7,7,7,6,6,27,3.00
10,10,8,7,9,29,3.50
3,4,3,0,4,16,1.50
1,1,2,3,2,14,1.25
9,10,9,6,11,29,3.50
7,9,10,3,15,31,3.75
2,4,3,2,8,14,1.50
2,3,4,2,2,5,1.25
8,7,8,2,13,29,3.25
7,4,5,4,6,16,2.00
4,2,3,3,10,16,1.75
8,5,4,5,12,25,2.75
8,4,6,3,12,19,2.50
9,8,10,8,14,25,3.50
10,10,9,5,15,30,3.75
7,7,6,2,4,15,2.00
4,1,2,4,1,3,1.25
2,4,2,2,6,10,1.25
6,6,6,5,8,30,3.00
6,7,9,4,8,6,2.00
6,5,4,2,13,22,2.50
4,4,5,2,6,19,2.00
6,3,3,3,8,12,1.75
9,9,9,6,13,28,3.50
3,5,5,0,4,14,1.50
3,6,5,4,5,15,1.75
2,1,0,4,5,19,1.50
4,3,1,6,8,21,2.00
8,9,8,7,14,28,3.50
5,6,7,1,9,18,2.25
4,5,4,3,14,13,2.00
10,10,8,6,11,28,3.50
10,9,8,5,11,29,3.50
8,9,10,6,16,33,4.00
5,2,4,0,4,6,1.25
3,4,4,3,5,17,1.75
1,1,0,1,2,5,1.25
2,5,7,0,2,6,1.25
10,10,10,7,15,28,4.00
1,2,0,0,3,4,1.25
9,9,8,6,11,30,3.50
6,4,5,4,14,15,2.25
2,5,3,0,0,4,1.25
4,5,4,1,7,12,1.50
8,6,7,5,13,23,3.00
5,7,5,4,14,21,2.75
9,9,9,6,12,27,3.50
8,7,9,6,10,31,3.50
10,9,10,4,15,36,4.00
10,9,10,6,10,34,3.75
10,8,10,4,15,27,3.50
7,6,7,7,7,12,2.25
0,2,1,0,8,17,1.25
5,6,5,5,10,27,2.75
8,6,7,7,17,29,3.50
1,5,0,0,0,5,1.25
6,2,0,6,12,33,2.75
6,7,8,7,12,26,3.25
0,1,0,2,4,1,1.25
1,1,1,0,8,7,1.25
9,10,10,8,18,21,3.75
3,2,3,0,8,15,1.50
6,5,6,4,11,29,3.00
6,5,4,2,5,15,1.75
9,6,10,8,11,30,3.50
3,3,4,3,6,18,1.75
8,10,10,4,7,27,3.25
4,4,7,4,14,30,3.00
5,6,9,3,7,20,2.50
9,7,9,5,7,27,3.00
5,4,4,3,6,17,1.75
8,10,8,4,7,21,2.75
6,4,4,5,8,12,1.75
4,4,5,1,2,7,1.25
5,0,3,3,7,7,1.25
0,1,3,5,5,3,1.25
5,3,4,0,2,11,1.25
7,8,9,5,8,25,3.00
5,5,4,4,6,18,2.00
8,8,8,4,7,21,2.75
0,2,2,2,1,5,1.25
2,2,2,1,4,8,1.25
9,7,7,7,7,27,3.00
9,8,8,4,11,30,3.50
3,0,2,4,6,17,1.50
7,6,4,8,13,32,3.50
7,3,6,4,4,23,2.25
3,0,0,5,8,15,1.50
5,7,3,2,8,10,1.75
1,0,0,1,0,1,1.25
8,9,8,3,4,11,2.00
3,4,6,3,4,17,1.75
7,5,6,4,10,32,3.00
5,5,4,4,9,11,1.75
9,8,7,6,10,28,3.25
6,7,7,6,11,30,3.25
10,10,10,4,18,25,3.75
0,1,1,1,4,12,1.25
8,4,5,3,12,26,2.75
5,6,7,3,7,11,1.75
6,6,8,8,13,24,3.25
1,0,1,0,4,5,1.25
10,10,9,7,18,31,4.00
10,10,10,7,19,34,4.00
9,9,10,2,10,24,3.00
7,6,6,4,11,28,3.00
9,10,10,8,13,32,4.00
7,7,7,8,10,19,2.75
8,7,10,4,12,16,2.75
3,5,5,4,3,7,1.25
4,5,5,1,6,20,2.00
7,8,10,4,12,26,3.25
3,5,3,0,4,8,1.25
4,3,1,6,5,12,1.50
1,2,1,3,5,12,1.25
0,1,0,0,4,2,1.25
9,6,10,5,10,27,3.25
2,3,2,1,2,13,1.25
6,8,6,5,11,19,2.75
8,10,9,6,15,33,4.00
5,6,6,4,12,22,2.75
6,4,5,2,4,16,1.75
8,7,10,6,9,30,3.50
2,0,3,4,4,9,1.25
7,8,8,6,14,33,3.75
10,8,10,6,12,21,3.25
4,3,1,5,17,27,2.75
2,4,4,4,7,16,1.75
8,6,10,4,15,28,3.50
2,4,6,2,8,13,1.75
10,8,10,5,9,14,2.75
3,4,5,1,7,24,2.00
9,9,10,5,9,26,3.25
7,7,7,2,12,23,2.75
8,9,10,5,10,25,3.25
6,3,6,0,8,10,1.50
4,4,5,4,11,23,2.50
4,6,7,0,0,6,1.25
4,3,6,3,6,15,1.75
2,4,2,0,1,10,1.25
8,6,8,8,14,32,3.75
6,5,5,1,13,13,2.00
1,2,1,0,2,6,1.25
8,8,8,8,13,25,3.50
8,9,8,7,12,34,3.75
6,7,8,3,12,28,3.00
6,5,0,7,14,37,3.25
1,0,3,0,3,4,1.25
4,3,7,2,4,14,1.50
7,10,9,5,12,32,3.75
5,7,6,3,8,26,2.75
4,2,2,1,2,6,1.25
7,7,6,4,8,25,2.75
8,6,6,8,14,26,3.25
6,5,7,3,6,14,2.00
0,5,3,1,1,11,1.25
4,5,4,2,6,20,2.00
7,6,5,5,12,31,3.25
3,0,3,1,6,6,1.25
8,10,9,6,12,27,3.50
7,10,8,7,7,26,3.25
2,2,2,0,2,10,1.25
7,7,10,5,9,28,3.25
8,8,8,4,13,33,3.50
7,7,6,6,10,24,3.00
5,7,5,9,12,32,3.50
8,6,8,4,11,17,2.50
8,9,9,5,10,29,3.50
8,9,10,3,7,18,2.75
2,3,5,1,8,16,1.75
4,5,3,5,5,11,1.50
2,4,4,0,3,4,1.25
8,10,8,5,11,29,3.50
7,4,3,6,15,16,2.50
7,8,6,6,10,17,2.50
5,5,7,3,11,18,2.25
5,4,5,3,12,27,2.75
5,5,3,5,6,7,1.50
8,8,7,8,17,32,4.00
7,5,4,8,8,26,2.75
4,6,7,6,11,19,2.50
0,0,1,0,4,7,1.25
5,2,7,5,7,9,1.75
5,5,5,2,3,11,1.50
8,6,8,3,14,32,3.50
6,8,7,5,13,26,3.25
2,5,4,4,3,14,1.50
10,9,10,8,12,36,4.00
10,8,9,6,11,30,3.50
8,8,9,6,12,24,3.25
10,9,8,7,13,31,3.75
8,9,7,7,18,33,4.00
10,10,10,6,10,30,3.75
6,8,9,5,10,26,3.00
10,9,7,7,13,27,3.50
4,7,4,4,10,17,2.25
5,6,7,3,11,21,2.50
9,8,8,8,13,17,3.00
2,3,2,2,7,11,1.25
4,6,6,4,11,14,2.25
10,9,10,7,17,33,4.00
4,5,5,6,3,4,1.25
8,8,7,4,11,30,3.25
0,0,0,2,3,4,1.25
5,7,5,2,10,19,2.25
8,8,9,6,11,31,3.50
2,3,3,0,5,6,1.25
8,7,9,7,11,29,3.50
4,2,5,3,10,22,2.25
3,3,2,3,0,12,1.25
3,5,3,0,3,17,1.50
4,5,6,1,3,10,1.25
7,5,7,6,10,26,3.00
10,9,8,7,8,36,3.75
5,4,5,4,12,22,2.50
10,10,8,9,4,26,3.25
6,4,4,5,10,20,2.25
6,6,9,4,6,25,2.75
8,10,9,6,11,38,4.00
2,2,2,1,4,8,1.25
4,5,6,3,9,15,2.00
4,3,4,2,2,12,1.25
7,9,5,5,6,21,2.50
7,7,7,6,7,29,3.00
4,4,2,3,6,11,1.50
9,6,6,6,7,17,2.50
0,1,0,0,4,5,1.25
8,10,10,10,11,34,4.00
10,9,8,6,15,32,4.00
3,1,2,1,6,7,1.25
9,10,10,2,11,26,3.25
7,9,5,6,7,27,3.00
4,4,6,1,5,10,1.50
5,3,2,3,7,18,1.75
3,6,2,1,8,12,1.50
5,3,4,1,9,12,1.50
5,5,8,3,8,21,2.50
8,10,9,6,12,27,3.50
10,10,10,5,13,38,4.00
8,5,9,2,13,27,3.00
8,8,8,6,17,32,3.75
2,2,3,1,1,0,1.25
7,8,8,6,11,24,3.00
0,1,0,0,5,3,1.25
6,7,9,3,12,10,2.25
4,4,6,1,6,23,2.00
5,6,6,4,8,21,2.50
10,9,10,5,18,35,4.00
7,10,10,5,18,27,3.75
10,10,8,5,8,16,2.75
5,6,6,4,10,22,2.50
10,10,10,6,16,37,4.00
7,10,10,6,14,30,3.75
4,4,2,1,4,5,1.25
4,5,4,0,9,17,1.75
8,7,7,6,5,22,2.75
9,10,9,6,11,27,3.50
2,0,0,0,6,6,1.25
1,4,2,2,1,5,1.25
5,6,4,3,8,13,1.75
9,10,10,6,16,33,4.00
7,7,5,5,14,23,3.00
10,10,10,6,15,35,4.00
5,4,6,4,10,12,2.00
1,0,1,0,3,10,1.25
10,10,10,5,12,34,4.00
5,4,5,2,2,15,1.50
4,5,6,2,5,19,2.00
4,3,3,4,4,11,1.25
8,9,10,6,12,23,3.25
8,8,8,3,13,23,3.00
6,3,4,2,10,18,2.00
7,7,5,10,16,25,3.50
1,4,2,2,8,11,1.25
6,6,8,3,15,26,3.00
0,0,0,3,3,6,1.25
7,9,7,3,11,26,3.00
1,2,2,4,7,6,1.25
10,10,10,6,15,35,4.00
8,7,7,6,13,24,3.25
8,8,8,5,11,18,2.75
8,8,7,2,8,19,2.50
7,7,5,6,9,14,2.25
6,6,7,7,12,30,3.25
4,4,6,0,9,23,2.25
7,5,5,3,14,16,2.50
4,4,0,8,13,20,2.25
8,9,7,6,7,25,3.00
6,5,6,4,8,17,2.25
4,4,3,5,4,22,2.00
9,6,8,7,15,32,3.75
4,4,2,2,4,8,1.25
10,10,10,9,13,34,4.00
7,7,6,4,8,18,2.50
4,4,3,3,3,8,1.25
5,4,4,4,3,8,1.25
4,6,6,4,11,26,2.75
9,6,6,8,8,20,2.75
5,7,6,3,8,18,2.25
2,0,2,1,0,5,1.25
4,1,2,2,5,15,1.25
6,5,6,2,6,20,2.25
5,8,6,5,8,32,3.00
8,9,9,5,11,17,2.75
7,5,7,4,15,25,3.00
6,6,7,2,12,23,2.75
6,5,4,2,7,17,2.00
3,5,1,3,7,10,1.25
4,4,5,2,9,17,2.00
2,2,4,0,9,8,1.25
6,8,6,5,7,20,2.50
6,4,2,4,14,25,2.75
7,8,8,7,11,22,3.00
8,9,9,7,11,24,3.25
10,10,10,6,15,36,4.00
1,2,2,3,1,3,1.25
8,10,8,5,11,29,3.50
2,1,1,0,0,8,1.25
6,4,4,6,11,29,3.00
10,10,10,9,12,38,4.00
6,3,5,4,4,18,2.00
5,4,7,2,13,22,2.50
6,3,3,1,3,15,1.50
8,8,10,6,16,35,4.00
2,5,5,4,4,4,1.25
2,2,3,0,5,6,1.25
8,8,7,5,8,26,3.00
6,6,6,4,7,18,2.25
0,0,0,2,0,3,1.25
6,7,6,2,5,23,2.25
2,1,3,0,6,5,1.25
4,4,4,1,7,13,1.50
7,5,6,3,11,28,3.00
2,4,3,2,0,13,1.25
9,10,10,4,10,26,3.25
4,7,6,6,15,29,3.25
8,7,7,5,13,21,3.00
3,4,2,1,6,14,1.50
0,3,0,1,5,12,1.25
2,0,1,1,0,6,1.25
0,1,2,0,3,0,1.25
10,10,9,7,13,34,4.00
6,5,6,4,7,26,2.50
7,10,10,4,9,25,3.25
3,0,0,1,0,7,1.25
9,7,8,6,7,11,2.25
8,7,8,7,9,30,3.25
7,8,9,4,10,26,3.00
7,6,7,4,15,27,3.25
6,5,7,6,10,31,3.25
4,2,1,1,6,16,1.50
7,7,6,5,13,25,3.00
3,2,2,0,0,1,1.25
8,8,8,4,11,24,3.00
3,3,1,6,3,14,1.50
9,8,10,6,15,31,3.75
6,4,6,4,5,13,1.75
0,0,1,2,6,0,1.25
7,5,6,3,11,24,2.75
6,4,4,4,4,19,2.00
8,6,6,2,12,15,2.25
5,6,5,4,5,11,1.75
7,9,5,6,14,13,2.50
5,6,6,2,9,13,2.00
9,9,9,8,10,18,3.00
9,5,8,3,11,27,3.00
6,6,7,9,10,18,2.75
4,5,2,4,9,17,2.00
1,2,2,1,2,3,1.25
7,8,10,10,13,37,4.00
9,9,10,2,7,25,3.00
3,4,6,1,6,19,1.75
7,3,4,2,6,11,1.50
10,9,10,7,14,28,3.75
7,4,8,4,5,15,2.00
5,6,6,5,9,23,2.50
9,10,8,9,10,33,3.75
10,10,10,6,16,37,4.00
5,2,4,1,0,12,1.25
4,6,5,5,13,27,3.00
0,1,1,0,1,6,1.25
1,0,0,3,7,15,1.25
6,6,6,5,12,14,2.25
3,5,5,1,6,10,1.50
9,8,9,7,11,18,3.00
10,9,10,3,16,28,3.75
7,6,8,10,9,35,3.75
7,4,5,4,12,25,2.75
8,5,7,2,7,21,2.50
2,3,4,3,4,15,1.50
10,8,9,7,17,30,4.00
4,6,4,6,12,18,2.50
9,10,10,10,13,31,4.00
5,9,6,2,4,19,2.25
3,1,3,2,5,10,1.25
9,10,10,4,12,32,3.75
7,6,6,6,8,26,2.75
10,9,9,9,14,35,4.00
9,10,10,4,10,30,3.50
5,5,8,3,8,13,2.00
7,7,9,3,9,29,3.00
6,4,6,4,1,12,1.50
8,8,7,7,10,37,3.75
8,5,7,7,8,23,2.75
4,5,2,2,8,16,1.75
3,4,2,2,5,2,1.25
7,5,1,7,17,31,3.25
0,0,0,1,1,12,1.25
7,9,10,6,11,27,3.50
6,8,7,7,10,25,3.00
1,1,2,3,1,4,1.25
4,5,6,1,8,13,1.75
10,10,10,10,15,22,3.75
6,5,6,3,10,17,2.25
5,5,4,5,14,23,2.75
6,6,5,3,5,22,2.25
7,5,6,1,7,15,2.00
8,10,8,9,15,33,4.00
3,5,5,3,7,20,2.00
7,8,8,7,13,27,3.50
10,8,10,6,9,28,3.50
7,8,8,6,10,22,3.00
3,3,2,3,3,13,1.25
3,6,5,4,8,13,1.75
9,8,8,8,14,32,3.75
0,3,1,1,8,9,1.25
8,10,10,7,17,29,4.00
10,10,10,7,7,25,3.25
10,10,9,7,16,28,4.00
2,4,5,0,6,10,1.25
9,8,8,5,11,28,3.25
7,6,6,7,11,17,2.50
2,1,1,1,2,12,1.25
0,2,0,2,6,7,1.25
2,4,3,2,5,10,1.25
3,2,4,5,7,12,1.50
5,5,5,3,6,14,1.75
10,8,10,9,15,33,4.00
7,6,5,6,10,20,2.50
6,5,4,3,6,12,1.75
5,6,7,5,8,15,2.25
9,10,10,5,10,22,3.25
4,2,4,2,6,16,1.50
8,7,8,2,5,13,2.00
2,1,4,2,5,12,1.25
6,6,6,6,8,20,2.50
7,10,8,8,14,35,4.00
3,3,4,2,5,25,2.00
9,9,7,3,13,27,3.25
8,5,7,4,12,33,3.25
5,4,7,4,6,24,2.50
8,6,6,6,11,26,3.00
2,2,3,3,7,15,1.50
2,3,4,1,4,6,1.25
10,8,10,5,15,28,3.75
6,7,7,2,4,11,1.75
2,3,1,4,4,12,1.25
8,7,7,4,11,25,3.00
2,1,3,1,2,1,1.25
6,3,4,2,0,8,1.25
2,5,1,5,4,14,1.50
7,8,7,7,16,20,3.25
3,4,3,1,3,8,1.25
7,8,7,3,7,14,2.25
5,4,5,6,6,14,2.00
0,0,0,1,0,7,1.25
5,8,6,6,16,28,3.25
9,8,10,5,11,23,3.25
3,4,5,1,2,10,1.25
6,7,7,6,14,20,3.00
1,2,4,0,2,2,1.25
7,7,8,4,9,19,2.50
5,5,6,4,9,16,2.25
3,2,3,3,5,12,1.25
7,6,5,5,14,28,3.25
9,7,4,10,13,30,3.50
4,2,5,1,7,13,1.50
0,0,2,0,2,4,1.25
10,9,10,5,11,27,3.50
7,7,6,7,11,31,3.25
6,7,6,5,9,19,2.50
5,6,6,4,14,25,3.00
9,10,10,10,16,23,3.75
8,6,4,4,9,19,2.50
8,10,8,6,12,32,3.75
2,0,0,0,4,5,1.25
10,7,7,5,15,33,3.75
0,0,0,0,3,0,1.25
6,9,7,9,13,27,3.50
10,9,10,8,15,31,4.00
10,10,10,7,12,30,3.75
4,1,2,3,11,23,2.00
7,7,8,5,8,25,3.00
8,7,9,6,7,18,2.75
9,9,10,5,11,31,3.75
6,3,3,1,14,18,2.25
3,1,1,1,6,7,1.25
10,10,10,7,12,35,4.00
9,10,10,7,10,30,3.75
9,10,10,2,7,25,3.00
6,9,9,5,8,23,3.00
8,7,10,4,9,27,3.25
8,8,7,4,8,21,2.75
10,10,10,8,13,36,4.00
1,4,1,0,5,7,1.25
9,10,10,7,14,39,4.00
6,7,7,6,15,36,3.75
1,1,0,2,0,4,1.25
7,9,7,7,11,31,3.50
8,5,6,6,9,27,3.00
10,10,10,7,11,24,3.50
3,3,2,4,10,30,2.50
4,5,1,4,9,9,1.50
10,9,10,5,13,34,4.00
9,9,9,6,9,24,3.25
3,3,2,2,7,17,1.50
1,0,1,0,1,9,1.25
5,7,7,3,8,19,2.25
9,9,8,6,10,28,3.50
9,10,7,9,13,36,4.00
10,10,8,10,11,29,3.75
4,5,3,4,5,15,1.75
9,8,9,4,9,33,3.50
0,0,1,0,4,0,1.25
9,10,7,8,15,33,4.00
5,5,4,4,10,16,2.00
10,10,10,4,9,24,3.25
7,6,6,3,9,24,2.75
2,5,4,2,5,10,1.25
7,8,9,4,10,37,3.75
8,8,9,4,13,22,3.00
5,6,6,5,2,16,2.00
3,5,5,0,1,5,1.25
2,4,3,4,3,10,1.25
3,1,3,6,8,12,1.50
2,1,2,1,5,7,1.25
4,5,6,3,7,10,1.75
8,5,5,6,17,28,3.25
6,6,6,4,9,22,2.50
9,8,10,5,13,26,3.50
3,3,3,0,0,9,1.25
10,10,10,6,12,31,3.75
3,6,3,3,7,15,1.75
0,1,2,0,1,8,1.25
3,1,4,0,4,10,1.25
7,8,6,4,5,23,2.50
7,9,8,3,12,22,3.00
6,6,2,5,6,14,1.75
4,6,2,0,5,13,1.50
4,2,1,0,4,8,1.25
3,3,5,4,8,5,1.25
8,10,9,7,15,32,4.00
8,8,9,6,11,29,3.50
8,8,7,6,12,27,3.25
10,9,10,5,13,31,3.75
2,2,1,3,6,6,1.25
2,5,3,1,3,7,1.25
1,1,0,0,0,6,1.25
9,9,10,7,12,30,3.75
5,6,5,2,8,22,2.25
2,0,2,1,4,15,1.25
7,8,8,4,10,14,2.50
2,4,5,1,3,1,1.25
7,8,9,4,15,31,3.50
1,1,1,0,0,5,1.25
3,0,2,3,9,15,1.50
8,9,8,5,4,21,2.75
2,2,4,1,3,10,1.25
2,3,5,3,9,13,1.75
5,6,5,5,6,25,2.50
10,10,10,7,17,32,4.00
2,6,4,4,6,12,1.50
6,4,6,0,6,11,1.50
1,1,3,1,5,7,1.25
10,8,9,7,16,30,4.00
2,4,3,1,11,14,1.75
7,8,8,5,8,19,2.75
0,0,1,2,1,3,1.25
3,1,1,1,2,10,1.25
8,6,9,5,5,19,2.50
2,3,0,3,4,10,1.25
9,9,10,8,10,14,3.00
7,8,9,7,8,32,3.50
4,0,3,4,8,10,1.25
3,3,6,2,8,21,2.00
8,8,10,4,8,26,3.00
7,8,9,2,14,32,3.50
4,4,3,1,2,7,1.25
6,6,7,8,11,26,3.00
3,6,5,3,11,12,2.00
2,4,2,3,4,4,1.25
4,4,3,3,4,9,1.25
8,10,6,9,11,35,3.75
5,2,2,0,3,15,1.25
9,8,9,5,15,31,3.75
7,9,7,6,11,26,3.25
1,5,3,1,6,10,1.25
4,5,4,3,6,15,1.75
4,6,5,2,7,25,2.25
3,3,3,5,7,14,1.75
7,6,8,4,11,33,3.25
9,7,8,4,11,18,2.75
4,3,3,2,0,10,1.25
5,2,2,3,0,5,1.25
6,5,6,2,14,29,3.00
0,1,0,3,6,7,1.25
8,9,10,7,18,35,4.00
5,7,8,7,13,30,3.50
9,8,7,6,10,28,3.25
7,2,3,0,5,8,1.25
5,7,5,2,9,19,2.25
10,8,10,5,8,17,2.75
4,4,4,7,7,16,2.00
4,4,2,3,3,6,1.25
10,7,9,6,9,31,3.50
6,7,6,8,11,11,2.25
1,3,2,0,1,3,1.25
7,5,7,4,10,20,2.50
4,1,3,4,2,9,1.25
6,5,6,6,10,24,2.75
8,6,8,6,10,24,3.00
8,8,8,5,6,27,3.00
6,5,6,0,4,11,1.50
3,0,0,2,4,3,1.25
7,5,9,5,14,23,3.00
7,6,6,7,8,17,2.50
5,5,5,2,12,22,2.50
4,4,6,0,6,9,1.25
6,7,8,1,11,25,2.75
3,3,3,2,7,10,1.25
0,2,1,4,6,20,1.50
10,8,10,8,11,30,3.75
10,8,8,4,19,32,4.00
5,6,6,1,11,21,2.50
5,3,4,0,5,16,1.50
2,1,1,0,5,7,1.25
7,7,7,5,13,27,3.25
8,6,6,4,8,22,2.50
5,6,7,5,7,23,2.50
0,0,2,0,4,1,1.25
4,1,5,1,5,13,1.25
10,10,10,8,14,32,4.00
5,5,4,5,10,14,2.00
3,5,4,7,9,21,2.25
6,6,5,6,7,26,2.75
4,5,6,2,7,23,2.25
6,4,6,4,6,15,2.00
6,3,5,7,4,15,2.00
1,2,0,0,2,1,1.25
8,9,7,9,11,18,3.00
5,4,6,1,2,22,2.00
3,2,3,4,7,20,1.75
6,7,6,6,11,23,2.75
8,8,8,6,17,32,3.75
0,0,0,2,2,10,1.25
5,5,6,6,13,23,2.75
6,5,6,5,10,20,2.50
10,7,10,6,13,25,3.50
10,9,8,7,14,34,4.00
7,7,6,4,11,29,3.00
2,7,6,4,4,16,1.75
9,7,8,7,13,31,3.75
9,8,10,6,9,25,3.25
2,2,0,0,1,7,1.25
6,3,3,1,5,16,1.50
10,9,10,7,13,35,4.00
0,0,1,0,4,10,1.25
10,7,8,7,7,31,3.50
6,7,7,1,5,14,2.00
10,10,10,7,10,28,3.75
2,2,1,1,6,7,1.25
5,8,8,0,9,14,2.00
10,8,10,6,9,31,3.50
4,4,5,3,9,12,1.75
9,9,7,5,12,32,3.50
9,10,10,8,12,36,4.00
8,7,10,2,13,32,3.50
6,9,5,5,12,24,3.00
8,7,8,3,2,9,1.75
3,1,4,3,2,9,1.25
10,10,10,6,18,34,4.00
10,6,8,8,13,27,3.50
6,7,6,2,9,24,2.50
9,10,10,6,14,34,4.00
4,5,4,3,7,10,1.50
5,9,5,5,9,23,2.75
9,7,5,3,11,14,2.25
10,10,10,10,15,33,4.00
0,1,1,2,6,8,1.25
10,10,10,10,14,32,4.00
8,7,7,7,12,24,3.25
9,10,10,9,16,36,4.00
0,0,0,1,5,6,1.25
4,4,3,5,5,21,2.00
4,1,1,4,6,17,1.50
7,5,7,3,15,25,3.00
3,4,4,4,1,7,1.25
8,9,10,3,14,30,3.50
4,2,5,2,9,10,1.50
5,3,5,6,3,17,1.75
8,6,8,8,11,31,3.50
6,6,6,1,6,14,1.75
3,4,5,4,5,12,1.50
9,9,9,4,10,24,3.25
10,10,10,6,16,33,4.00
8,9,10,8,12,21,3.25
10,10,8,9,14,34,4.00
5,7,4,10,9,29,3.00
4,7,6,3,4,12,1.75
9,10,10,6,11,33,3.75
4,3,2,3,4,10,1.25
9,9,10,8,19,36,4.00
5,4,5,3,7,16,2.00
9,9,8,10,16,27,3.75
7,7,7,5,9,23,2.75
10,10,10,9,10,32,4.00
9,9,10,4,11,26,3.25
7,5,6,3,7,21,2.25
6,5,6,5,7,19,2.25
7,5,5,3,9,20,2.25
3,2,2,3,0,3,1.25
4,6,5,7,12,20,2.50
10,9,10,6,13,25,3.50
9,10,9,7,13,29,3.75
5,3,4,6,9,17,2.00
9,9,9,9,10,36,4.00
7,4,5,4,0,18,1.75
6,6,6,8,14,24,3.00
10,10,10,9,11,29,3.75
5,7,8,6,14,23,3.00
6,4,5,4,6,17,2.00
5,8,7,5,7,25,2.75
1,4,4,1,10,12,1.50
6,7,7,4,9,17,2.50
4,5,4,3,9,6,1.50
2,1,2,0,4,12,1.25
0,1,1,1,4,11,1.25
7,8,6,3,4,15,2.00
3,3,4,1,2,18,1.50
5,4,5,3,5,10,1.50
5,6,4,5,10,25,2.75
5,2,4,3,2,5,1.25
7,6,7,5,10,36,3.50
5,2,5,3,11,26,2.50
9,7,6,6,13,28,3.25
3,6,4,1,7,14,1.75
4,5,7,3,5,16,2.00
3,2,3,5,6,12,1.50
1,3,2,0,0,16,1.25
3,4,4,4,6,11,1.50
4,5,8,6,10,21,2.50
10,10,9,5,10,30,3.50
6,8,10,3,1,17,2.25
1,2,3,0,5,8,1.25
7,9,8,4,8,24,3.00
7,8,6,6,14,23,3.00
3,3,6,1,8,4,1.25
10,10,8,6,13,32,3.75
2,6,4,1,5,18,1.75
6,7,7,4,12,25,3.00
10,9,10,7,10,35,4.00
7,5,5,6,9,24,2.75
0,0,0,2,1,6,1.25
1,0,2,0,0,0,1.25
7,4,2,3,8,22,2.25
3,4,4,5,7,12,1.75
6,6,8,8,14,27,3.25
2,4,3,1,3,6,1.25
7,6,6,5,11,22,2.75
7,8,9,3,13,32,3.50
10,10,9,7,14,28,3.75
6,7,6,7,8,14,2.25
6,8,9,4,10,9,2.25
5,7,5,7,1,18,2.00
2,3,3,1,5,6,1.25
8,7,6,3,14,15,2.50
3,3,5,3,0,5,1.25
8,10,10,7,19,30,4.00
9,10,9,4,13,26,3.50
3,3,3,6,7,20,2.00
1,3,2,1,5,14,1.25
7,6,5,1,8,12,1.75
6,5,2,6,10,14,2.00
9,9,10,4,13,30,3.75
